essId	wdCnt	StsCnt	lWdCnt	advCnt	adjCnt	nunCnt	verbCnt	vbgCnt	cmaCnt	punCnt	wdLen
3463	.134	.148	.189	.022	.144	.178	.093	.102	.071	.102	.838
3464	.495	.455	.371	.067	.396	.548	.513	.374	.328	.305	.749
3465	.13	.125	.152	.022	.072	.165	.126	.0	.114	.078	.836
3466	.211	.205	.227	.067	.234	.2	.177	.17	.157	.133	.767
3467	.397	.375	.258	.379	.414	.313	.547	.272	.171	.258	.708
3468	.309	.216	.364	.089	.54	.339	.219	.238	.356	.141	.809
3469	.367	.261	.311	.045	.36	.457	.354	.476	.442	.172	.76
3470	.482	.409	.235	.335	.342	.496	.505	.476	.185	.282	.689
3471	.23	.216	.114	.089	.18	.283	.202	.17	.313	.141	.725
3472	.175	.114	.136	.022	.198	.218	.152	.136	.043	.07	.754
3473	.047	.034	.038	.022	.054	.052	.051	.034	.0	.023	.784
3474	.39	.42	.273	.134	.432	.466	.362	.238	.541	.282	.761
3475	.134	.114	.076	.089	.072	.183	.093	.034	.285	.07	.73
3476	.365	.216	.561	.201	.252	.461	.345	.272	.242	.149	.858
3477	.328	.125	.265	.022	.432	.396	.253	.102	.114	.078	.716
3478	.275	.261	.144	.022	.324	.348	.236	.136	.114	.18	.702
3479	.124	.136	.129	.067	.18	.131	.101	.0	.071	.094	.79
3480	.173	.159	.205	.0	.18	.239	.126	.068	.114	.11	.858
3481	.188	.136	.205	.134	.198	.235	.118	.102	.128	.086	.763
3482	.232	.136	.273	.067	.27	.296	.177	.068	.214	.094	.786
3483	.326	.273	.333	.201	.414	.366	.278	.102	.313	.18	.808
3484	.177	.125	.136	.045	.252	.174	.21	.17	.085	.078	.791
3485	.431	.307	.492	.335	.414	.466	.404	.408	.171	.203	.822
3486	.06	.057	.053	.022	.072	.061	.067	.0	.0	.031	.769
3487	.375	.511	.417	.134	.432	.413	.278	.0	.228	.352	.793
3488	.222	.193	.174	.067	.144	.292	.21	.34	.399	.133	.828
3489	.119	.125	.159	.045	.108	.148	.101	.0	.157	.078	.87
3490	.23	.148	.182	.312	.09	.27	.21	.102	.214	.102	.731
3491	.068	.068	.053	.045	.09	.061	.076	.034	.043	.047	.724
3492	.439	.318	.364	.134	.414	.535	.412	.272	.527	.219	.742
3493	.066	.068	.038	.022	.09	.074	.067	.0	.071	.047	.666
3494	.198	.239	.129	.067	.108	.17	.303	.102	.057	.164	.695
3495	.215	.227	.167	.089	.18	.226	.269	.17	.385	.149	.742
3496	.245	.182	.356	.089	.414	.261	.177	.0	.413	.117	.871
3497	.249	.205	.152	.045	.252	.274	.185	.0	.071	.141	.685
3498	.267	.148	.174	.045	.198	.352	.261	.17	.142	.094	.757
3499	.369	.08	.371	.134	.342	.54	.194	.068	.242	.047	.827
3500	.111	.011	.053	.045	.126	.109	.135	.034	.014	.008	.698
3501	.337	.227	.394	.134	.288	.339	.328	.17	.242	.156	.807
3502	.211	.216	.197	.045	.162	.213	.295	.17	.114	.149	.772
3503	.111	.136	.205	.045	.108	.126	.126	.034	.057	.094	.945
3504	.179	.25	.038	.201	.108	.165	.244	.136	.114	.172	.628
3505	.136	.125	.083	.201	.216	.113	.101	.034	.028	.078	.703
3506	.243	.239	.273	.179	.27	.239	.269	.17	.199	.156	.802
3507	.29	.273	.235	.134	.162	.309	.328	.102	.043	.188	.739
3508	.288	.25	.227	.179	.324	.287	.261	.238	.171	.172	.756
3509	.522	.466	.364	.424	.45	.535	.471	.442	.954	.313	.734
3510	.292	.011	.189	.022	.252	.348	.185	.0	.1	.008	.703
3511	.239	.205	.159	.0	.45	.313	.118	.136	.171	.133	.717
3512	.296	.205	.242	.112	.288	.357	.269	.204	.214	.133	.823
3513	.226	.273	.205	.022	.288	.265	.202	.068	.271	.18	.747
3514	.277	.08	.258	.089	.198	.274	.345	.204	.1	.047	.753
3515	.203	.159	.22	.134	.18	.235	.185	.136	.185	.102	.834
3516	.397	.341	.273	.223	.234	.474	.421	.034	.228	.235	.75
3517	.072	.091	.083	.045	.09	.083	.051	.034	.057	.055	.726
3518	.267	.216	.212	.223	.288	.3	.202	.034	.1	.141	.733
3519	.377	.386	.242	.201	.468	.339	.497	.068	.1	.258	.699
3520	.416	.102	.538	.067	.468	.505	.379	.204	.313	.063	.879
3521	.26	.216	.288	.067	.396	.27	.236	.136	.242	.149	.804
3522	.215	.25	.197	.067	.252	.265	.177	.0	.128	.172	.794
3523	.458	.273	.333	.268	.432	.509	.412	.68	.442	.18	.721
3524	.264	.239	.25	.022	.27	.279	.311	.102	.299	.164	.78
3525	.322	.205	.295	.179	.234	.374	.362	.204	.085	.141	.789
3526	.192	.17	.129	.0	.306	.213	.202	.034	.071	.117	.723
3527	.307	.182	.167	.201	.342	.296	.37	.17	.128	.117	.695
3528	.377	.295	.288	.446	.522	.396	.269	.272	.342	.196	.739
3529	.328	.341	.303	.0	.36	.409	.295	.034	.185	.227	.819
3530	.343	.227	.318	.201	.306	.379	.37	.306	.456	.149	.773
3531	.469	.284	.477	.29	.396	.548	.404	.306	.57	.188	.793
3532	.164	.136	.258	.067	.252	.183	.135	.034	.242	.086	.88
3533	.215	.159	.205	.045	.216	.279	.185	.102	.057	.11	.792
3534	.243	.159	.197	.156	.198	.274	.261	.102	.171	.11	.744
3535	.258	.216	.129	.022	.216	.309	.253	.102	.028	.141	.681
3536	.177	.182	.182	.067	.198	.178	.236	.136	.085	.125	.798
3537	.469	.386	.523	.089	.36	.557	.396	.306	.342	.266	.837
3538	.284	.205	.273	.067	.378	.3	.295	.034	.071	.141	.755
3539	.631	.42	.576	.179	.594	.783	.488	.102	.541	.282	.81
3540	.281	.307	.197	.357	.18	.292	.32	.17	.071	.211	.741
3541	.305	.386	.098	.112	.27	.3	.261	.034	.171	.266	.673
3542	.39	.25	.235	.246	.162	.47	.37	.102	.513	.172	.707
3543	.141	.08	.076	.045	.09	.161	.152	.034	.128	.055	.658
3544	.275	.034	.288	.179	.36	.218	.379	.102	.385	.023	.802
3545	.416	.341	.273	.156	.54	.379	.497	.306	1.0	.227	.679
3546	.603	.557	.697	.156	.414	.731	.589	.476	.812	.383	.819
3547	.286	.239	.174	.045	.36	.283	.269	.034	.171	.164	.712
3548	.217	.25	.205	.022	.162	.283	.21	.102	.128	.172	.815
3549	.271	.148	.212	.156	.396	.283	.177	.0	.114	.11	.704
3550	.345	.398	.28	.179	.234	.392	.387	.17	.399	.266	.739
3551	.414	.295	.295	.156	.45	.466	.429	.102	.256	.203	.771
3552	.252	.227	.182	.156	.414	.265	.202	.17	.157	.149	.746
3553	.156	.148	.167	.089	.126	.187	.16	.136	.142	.102	.823
3554	.198	.239	.265	.045	.342	.191	.219	.068	.014	.156	.814
3555	.356	.284	.227	.357	.216	.413	.32	.17	.285	.196	.738
3556	.051	.057	.015	.089	.018	.057	.042	.0	.085	.031	.666
3557	.247	.216	.326	.179	.234	.287	.21	.034	.142	.149	.82
3558	.173	.125	.076	.268	.09	.174	.194	.068	.114	.078	.676
3559	.486	.58	.174	.156	.594	.561	.404	.306	.499	.391	.661
3560	.339	.318	.189	.335	.234	.37	.32	.238	.214	.211	.662
3561	.186	.148	.182	.112	.126	.213	.202	.034	.114	.094	.774
3562	.213	.17	.174	.201	.27	.205	.185	.034	.299	.117	.725
3563	.247	.33	.152	.223	.18	.265	.236	.102	.242	.219	.712
3564	.284	.239	.242	.045	.36	.352	.244	.17	.228	.156	.776
3565	.343	.25	.288	.379	.378	.309	.337	.136	.214	.172	.715
3566	.313	.17	.174	.156	.288	.357	.295	.204	.313	.11	.702
3567	.305	.307	.182	.246	.216	.392	.244	.136	.071	.203	.747
3568	.29	.227	.273	.246	.252	.322	.261	.068	.171	.149	.743
3569	.292	.25	.311	.156	.198	.335	.32	.204	.342	.172	.775
3570	.454	.432	.333	.29	.324	.474	.463	.374	.313	.297	.767
3571	.243	.216	.091	.112	.126	.283	.194	.034	.285	.141	.663
3572	.211	.011	.076	.0	.198	.239	.269	.136	.0	.0	.636
3573	.307	.318	.258	.0	.198	.361	.396	.102	.071	.219	.804
3574	.275	.216	.326	.022	.324	.274	.244	.136	.171	.149	.835
3575	.61	.352	.371	.335	.558	.722	.598	.238	.185	.235	.715
3576	.156	.125	.121	.0	.162	.17	.194	.136	.128	.086	.78
3577	.305	.216	.212	.223	.198	.313	.387	.272	.285	.141	.749
3578	.245	.295	.144	.246	.27	.261	.202	.136	.214	.196	.738
3579	.437	.352	.311	.067	.324	.513	.379	.34	.385	.235	.748
3580	.207	.182	.091	.045	.162	.252	.202	.068	.028	.117	.683
3581	.307	.273	.167	.022	.396	.331	.379	.238	.057	.188	.72
3582	.126	.034	.091	.089	.072	.122	.185	.0	.0	.016	.766
3583	.194	.148	.144	.067	.36	.139	.236	.136	.114	.094	.746
3584	.207	.193	.205	.067	.18	.239	.185	.068	.157	.125	.783
3585	.205	.205	.091	.179	.306	.226	.143	.034	.185	.141	.651
3586	.162	.17	.083	.089	.198	.161	.194	.102	.157	.117	.708
3587	.119	.034	.053	.0	.162	.126	.135	.136	.0	.023	.666
3588	.143	.148	.038	.067	.09	.178	.152	.102	.0	.102	.639
3589	.431	.341	.402	.112	.396	.444	.488	.51	.356	.235	.795
3590	.343	.216	.174	.29	.36	.296	.446	.272	.228	.149	.71
3591	.38	.33	.333	.246	.432	.383	.269	.136	.185	.219	.734
3592	.203	.159	.227	.045	.324	.235	.152	.034	.085	.102	.809
3593	.256	.227	.258	.067	.342	.296	.202	.068	.342	.156	.778
3594	.548	.341	.508	.089	.522	.74	.421	.204	.328	.227	.79
3595	.405	.33	.28	.201	.144	.422	.421	.204	.37	.219	.723
3596	.484	.477	.212	.156	.324	.535	.48	.306	.199	.321	.658
3597	.096	.114	.038	.0	.09	.126	.084	.102	.043	.078	.672
3598	.177	.182	.227	.045	.198	.226	.152	.034	.1	.125	.872
3599	.205	.148	.152	.0	.306	.218	.219	.136	.085	.094	.737
3600	.198	.239	.098	.045	.18	.226	.244	.136	.142	.164	.715
3601	.454	.318	.439	.179	.486	.513	.463	.306	.399	.219	.795
3602	.166	.08	.068	.0	.072	.244	.143	.102	.014	.055	.725
3603	.128	.148	.008	.022	.09	.117	.219	.0	.057	.094	.68
3604	.166	.068	.008	.022	.162	.196	.168	.068	.0	.039	.617
3605	.542	.364	.439	.134	.504	.709	.404	.136	.527	.243	.769
3606	.235	.261	.182	.045	.306	.313	.143	.0	.256	.172	.764
3607	.497	.307	.553	.246	.522	.583	.463	.272	.299	.211	.854
3608	.267	.239	.235	.089	.504	.252	.269	.034	.299	.172	.755
3609	.405	.511	.28	.022	.468	.413	.513	.408	.37	.344	.74
3610	.16	.125	.098	.112	.144	.152	.101	.0	.214	.078	.678
3611	.087	.091	.03	.045	.054	.1	.084	.034	.0	.055	.66
3612	.213	.182	.258	.112	.216	.27	.152	.034	.199	.117	.832
3613	.316	.352	.22	.29	.216	.357	.32	.034	.285	.235	.753
3614	.371	.273	.318	.312	.36	.37	.438	.306	.128	.18	.756
3615	.301	.227	.167	.134	.234	.396	.236	.102	.057	.156	.718
3616	.22	.148	.212	.0	.234	.313	.118	.034	.171	.094	.77
3617	.194	.136	.098	.045	.09	.248	.177	.068	.228	.094	.731
3618	.33	.227	.114	.112	.468	.37	.328	.17	.028	.156	.631
3619	.339	.307	.402	.112	.306	.383	.328	.204	.214	.211	.851
3620	.407	.398	.265	.379	.45	.47	.311	.17	.598	.266	.728
3621	.303	.239	.265	.268	.306	.313	.236	.102	.185	.164	.752
3622	.348	.261	.106	.246	.324	.265	.37	.0	.499	.18	.63
3623	.136	.114	.136	.045	.216	.144	.118	.102	.071	.07	.787
3624	.303	.239	.356	.045	.27	.374	.278	.17	.556	.164	.83
3625	.228	.273	.091	.201	.288	.226	.177	.068	.142	.188	.649
3626	.49	.239	.432	.067	.45	.5	.311	.068	.214	.156	.746
3627	.26	.159	.242	.045	.198	.296	.328	.034	.071	.11	.798
3628	.426	.386	.348	.045	.504	.557	.303	.204	.37	.266	.756
3629	.22	.148	.182	.022	.414	.248	.185	.204	.214	.102	.765
3630	.217	.159	.182	.067	.198	.257	.194	.136	.157	.11	.79
3631	.198	.148	.182	.045	.36	.218	.177	.204	.228	.094	.81
3632	.13	.102	.038	.089	.162	.148	.109	.0	.028	.07	.638
3633	.168	.148	.258	.067	.162	.222	.101	.0	.014	.102	.85
3634	.117	.057	.167	.022	.252	.126	.084	.034	.057	.039	.9
3635	.173	.114	.182	.112	.252	.174	.168	.034	.043	.078	.757
3636	.42	.284	.167	.156	.234	.579	.261	.068	.057	.196	.68
3637	.299	.216	.288	.022	.288	.357	.337	.102	.242	.149	.786
3638	.181	.227	.235	.045	.162	.222	.185	.102	.242	.149	.879
3639	.188	.125	.159	.0	.126	.205	.185	.17	.085	.078	.743
3640	.426	.375	.447	.067	.378	.574	.328	.238	.228	.258	.808
3641	.096	.068	.083	.0	.18	.096	.101	.068	.128	.047	.742
3642	.281	.148	.182	.067	.252	.352	.261	.068	.285	.102	.767
3643	.109	.114	.091	.045	.09	.157	.059	.034	.057	.07	.773
3644	.235	.216	.129	.022	.324	.27	.21	.068	.185	.149	.71
3645	.16	.068	.114	.045	.27	.165	.152	.0	.199	.039	.736
3646	.264	.227	.318	.045	.18	.326	.286	.204	.228	.156	.79
3647	.345	.284	.242	.156	.342	.374	.37	.204	.413	.188	.769
3648	.431	.239	.553	.156	.504	.492	.337	.408	.271	.156	.885
3649	.309	.341	.129	.424	.198	.305	.303	.068	.413	.227	.658
3650	.307	.205	.424	.067	.306	.361	.32	.306	.342	.133	.865
3651	.296	.239	.288	.067	.162	.409	.227	.0	.199	.164	.796
3652	.51	.443	.197	.201	.414	.518	.37	.204	.912	.313	.626
3653	.559	.648	.379	.156	.647	.627	.53	.374	.114	.438	.734
3654	.258	.318	.197	.112	.18	.313	.286	.204	.1	.211	.762
3655	.164	.159	.197	.067	.144	.165	.21	.068	.057	.102	.823
3656	.032	.045	.045	.0	.126	.026	.017	.0	.014	.023	.798
3657	.345	.239	.417	.045	.378	.405	.337	.068	.271	.164	.837
3658	.456	.545	.22	.156	.54	.509	.362	.17	.214	.376	.671
3659	.072	.114	.053	.045	.108	.087	.051	.0	.057	.07	.73
3660	.237	.136	.144	.045	.162	.3	.253	.17	.1	.094	.745
3661	.405	.352	.515	.179	.288	.513	.32	.238	.442	.235	.819
3662	.431	.455	.265	.179	.576	.383	.53	.238	.47	.313	.701
3663	.107	.023	.129	.022	.126	.117	.093	.068	.0	.016	.846
3664	.322	.227	.341	.045	.432	.339	.311	.204	.199	.156	.801
3665	.241	.148	.121	.022	.216	.239	.303	.17	.271	.11	.712
3666	.213	.136	.22	.067	.126	.248	.227	.272	.171	.094	.802
3667	.22	.182	.098	.179	.108	.187	.185	.034	.142	.125	.625
3668	.299	.318	.371	.112	.432	.305	.303	.068	.285	.211	.823
3669	.239	.102	.144	.112	.27	.2	.202	.136	.142	.07	.683
3670	.06	.034	.008	.022	.054	.07	.067	.0	.0	.016	.549
3671	.26	.227	.258	.223	.306	.213	.362	.136	.299	.156	.749
3672	.247	.205	.182	.067	.18	.248	.37	.238	.228	.133	.731
3673	.164	.023	.091	.022	.18	.17	.185	.068	.057	.016	.664
3674	.296	.273	.242	.223	.414	.287	.311	.238	.228	.188	.778
3675	.316	.239	.242	.201	.396	.331	.303	.068	.271	.164	.721
3676	.443	.318	.409	.134	.396	.57	.396	.204	.271	.219	.805
3677	.337	.307	.258	.312	.306	.374	.286	.068	.299	.203	.759
3678	.177	.125	.152	.045	.216	.144	.278	.408	.256	.086	.774
3679	.273	.227	.091	.112	.198	.292	.328	.136	.0	.156	.661
3680	.186	.17	.144	.201	.144	.187	.21	.102	.1	.117	.761
3681	.254	.261	.091	.022	.27	.313	.236	.034	.0	.172	.669
3682	.322	.273	.394	.134	.324	.409	.261	.102	.171	.188	.856
3683	.288	.352	.205	.179	.216	.37	.236	.0	.085	.243	.742
3684	.143	.136	.068	.067	.18	.148	.16	.068	.014	.086	.711
3685	.13	.148	.076	.0	.108	.178	.109	.068	.014	.102	.749
3686	.194	.216	.114	.089	.162	.226	.143	.068	.085	.141	.686
3687	.441	.398	.152	.379	.342	.37	.522	.442	.67	.274	.665
3688	.303	.307	.242	.067	.234	.405	.21	.238	.142	.203	.739
3689	.356	.295	.273	.089	.45	.4	.345	.102	.356	.196	.765
3690	.188	.057	.083	.022	.342	.191	.185	.136	.057	.039	.708
3691	.356	.284	.447	.156	.45	.444	.261	.136	.157	.196	.869
3692	.256	.25	.326	.067	.378	.261	.295	.17	.157	.164	.879
3693	.271	.159	.189	.402	.27	.244	.303	.17	.071	.102	.709
3694	.328	.33	.22	.022	.414	.405	.194	.034	.114	.219	.774
3695	.215	.102	.174	.112	.306	.248	.152	.17	.085	.063	.788
3696	.243	.227	.212	.045	.18	.265	.269	.068	.328	.156	.767
3697	.505	.375	.424	.067	.701	.535	.539	.306	.313	.258	.757
3698	.358	.375	.333	.045	.378	.44	.362	.238	.085	.258	.774
3699	.098	.057	.061	.089	.054	.104	.118	.034	.199	.031	.739
3700	.309	.284	.341	.179	.432	.348	.194	.102	.413	.196	.786
3701	.249	.205	.212	.112	.27	.322	.177	.204	.171	.133	.777
3702	.186	.136	.152	.067	.126	.209	.236	.102	.0	.094	.759
3703	.2	.182	.129	.045	.18	.248	.194	.0	.1	.117	.736
3704	.235	.227	.303	.022	.288	.244	.219	.238	.171	.156	.822
3705	.168	.08	.015	.0	.144	.139	.32	.306	.014	.047	.642
3706	.215	.159	.144	.179	.18	.213	.177	.102	.214	.11	.715
3707	.36	.295	.28	.112	.414	.387	.295	.102	.47	.196	.752
3708	.356	.307	.265	.045	.342	.457	.337	.306	.342	.211	.778
3709	.273	.193	.197	.112	.324	.357	.168	.136	.028	.117	.73
3710	.183	.136	.091	.089	.216	.178	.084	.034	.014	.094	.621
3711	.209	.17	.22	.067	.27	.274	.143	.102	.342	.11	.789
3712	.194	.17	.174	.067	.162	.218	.21	.102	.085	.11	.803
3713	.375	.42	.364	.179	.27	.457	.311	.102	.37	.29	.771
3714	.087	.068	.045	.067	.054	.113	.051	.0	.1	.047	.746
3715	.222	.057	.182	.022	.216	.287	.194	.0	.385	.039	.698
3716	.377	.489	.152	.312	.198	.296	.37	.204	.142	.336	.593
3717	.196	.216	.106	.022	.396	.183	.177	.068	.114	.141	.687
3718	.207	.148	.114	.0	.144	.296	.152	.034	.014	.102	.727
3719	.512	.42	.197	.134	.414	.518	.463	.238	.313	.29	.663
3720	.271	.25	.144	.201	.324	.296	.227	.068	.014	.172	.692
3721	.32	.205	.318	.067	.288	.387	.303	.068	.256	.133	.813
3722	.456	.307	.432	.156	.612	.487	.429	.17	.499	.211	.772
3723	.529	.318	.644	.357	.791	.518	.412	.17	.641	.211	.817
3724	.171	.193	.144	.045	.162	.144	.185	.034	.214	.196	.738
3725	.16	.148	.106	.022	.144	.178	.16	.204	.0	.102	.744
3726	.213	.182	.167	.067	.126	.261	.244	.17	.199	.125	.763
3727	.196	.227	.197	.067	.36	.178	.177	.102	.1	.149	.726
3728	.258	.239	.288	.134	.396	.279	.236	.17	.128	.164	.847
3729	.196	.182	.159	.29	.252	.148	.202	.0	.142	.125	.694
3730	.203	.205	.098	.067	.126	.2	.328	.102	.043	.141	.671
3731	.117	.091	.068	.045	.216	.152	.042	.034	.014	.063	.712
3732	.264	.091	.189	.067	.45	.322	.118	.0	.256	.063	.762
3733	.226	.17	.174	.045	.162	.318	.126	.034	.285	.11	.789
3734	.104	.068	.045	.022	.126	.104	.135	.034	.071	.039	.645
3735	.26	.261	.212	.089	.252	.322	.219	.374	.128	.172	.715
3736	.409	.239	.333	.201	.522	.426	.354	.272	.499	.156	.748
3737	.335	.33	.152	.446	.198	.4	.227	.034	.043	.227	.659
3738	.243	.17	.098	.179	.108	.283	.244	.102	.114	.117	.684
3739	.139	.125	.106	.022	.126	.161	.16	.204	.043	.078	.769
3740	.407	.284	.341	.022	.665	.466	.328	.204	.256	.188	.767
3741	.051	.045	.03	.045	.036	.07	.025	.0	.0	.023	.735
3742	.373	.261	.364	.067	.486	.405	.337	.204	.527	.18	.779
3743	.235	.273	.136	.112	.144	.261	.269	.034	.085	.188	.733
3744	.168	.17	.098	.022	.126	.183	.236	.068	.1	.11	.717
3745	.194	.034	.091	.134	.18	.144	.253	.0	.028	.008	.668
3746	.409	.33	.205	.201	.54	.448	.337	.17	.1	.227	.722
3747	.196	.182	.212	.045	.198	.296	.067	.0	.285	.125	.793
3748	.299	.261	.25	.045	.27	.348	.32	.034	.085	.164	.748
3749	.23	.216	.167	.156	.234	.261	.236	.204	.1	.149	.758
3750	.313	.227	.5	.067	.504	.357	.261	.374	.356	.149	.939
3751	.49	.386	.614	.246	.396	.57	.429	.34	.499	.266	.845
3752	.205	.205	.114	.112	.234	.205	.202	.034	.1	.141	.729
3753	.226	.227	.341	.045	.378	.313	.051	.0	.171	.149	.883
3754	.186	.091	.197	.112	.288	.178	.21	.034	.043	.063	.766
3755	.373	.432	.318	.067	.414	.453	.295	.204	.342	.29	.753
3756	.354	.466	.197	.156	.45	.387	.345	.068	.399	.313	.718
3757	.249	.08	.136	.134	.252	.27	.236	.102	.1	.047	.701
3758	.162	.182	.167	.0	.144	.165	.227	.068	.1	.125	.777
3759	.143	.091	.098	.022	.126	.157	.194	.136	.142	.055	.769
3760	.222	.182	.038	.446	.198	.165	.253	.068	.057	.125	.61
3761	.659	.511	.439	.223	.558	.666	.816	.544	.541	.344	.723
3762	.107	.023	.136	.045	.072	.131	.101	.034	.028	.008	.874
3763	.386	.284	.227	.268	.468	.387	.32	.238	.47	.188	.69
3764	.256	.284	.152	.045	.252	.305	.269	.102	.014	.188	.75
3765	.326	.261	.227	.134	.468	.37	.236	.102	.157	.172	.764
3766	.171	.17	.144	.0	.198	.226	.126	.0	.128	.11	.771
3767	.311	.261	.333	.067	.396	.344	.244	.102	.271	.18	.818
3768	.552	.5	.462	.424	.576	.566	.471	.374	.584	.336	.738
3769	.194	.17	.167	.201	.198	.209	.152	.068	.114	.11	.702
3770	.305	.182	.508	.134	.306	.357	.253	.136	.285	.117	.889
3771	.299	.284	.212	.156	.306	.344	.244	.068	.228	.188	.731
3772	.222	.159	.068	.067	.27	.196	.185	.034	.071	.102	.649
3773	.23	.25	.144	.223	.288	.244	.185	.136	.014	.164	.702
3774	.245	.216	.25	.0	.162	.366	.168	.034	.271	.141	.824
3775	.254	.261	.212	.246	.216	.265	.286	.068	.47	.18	.74
3776	.249	.25	.174	.179	.288	.283	.194	.204	.271	.172	.758
3777	.267	.25	.22	.223	.288	.313	.202	.034	.1	.164	.722
3778	.286	.341	.227	.0	.36	.361	.219	.204	.014	.235	.728
3779	.09	.102	.023	.022	.09	.104	.101	.068	.0	.063	.624
3780	.443	.261	.364	.112	.647	.487	.311	.068	.142	.172	.757
3781	.269	.239	.258	.112	.234	.331	.261	.136	.114	.164	.775
3782	.267	.239	.045	.112	.27	.292	.227	.068	.157	.164	.621
3783	.333	.25	.242	.112	.342	.357	.261	.17	.128	.164	.725
3784	.567	.375	.5	.134	.45	.648	.539	.374	.37	.25	.794
3785	.1	.091	.053	.045	.018	.131	.034	.0	.242	.063	.673
3786	.211	.193	.098	.156	.108	.248	.185	.136	.057	.149	.701
3787	.192	.136	.091	.134	.198	.222	.168	.034	.0	.094	.679
3788	.284	.227	.364	.089	.45	.226	.412	.17	.199	.149	.82
3789	.194	.193	.22	.156	.216	.187	.219	.068	.085	.125	.796
3790	.156	.08	.144	.156	.144	.174	.152	.068	.1	.055	.775
3791	.237	.182	.144	.089	.072	.274	.328	.17	.043	.125	.72
3792	.166	.182	.098	.022	.18	.187	.202	.204	.114	.125	.781
3793	.563	.318	.78	.312	.612	.64	.396	.408	.427	.211	.849
3794	.301	.261	.311	.045	.522	.339	.253	.272	.328	.18	.802
3795	.271	.364	.205	.045	.252	.374	.194	.034	.142	.243	.763
3796	.284	.284	.28	.112	.342	.348	.21	.0	.199	.196	.777
3797	.269	.273	.303	.022	.252	.344	.244	.204	.199	.188	.816
3798	.482	.511	.242	.112	.414	.609	.396	.238	.442	.352	.695
3799	.156	.08	.106	.112	.09	.209	.126	.102	.0	.055	.759
3800	.235	.227	.045	.156	.36	.244	.202	.204	.256	.149	.637
3801	.09	.011	.114	.0	.162	.104	.051	.0	.085	.008	.852
3802	.328	.284	.25	.022	.396	.374	.37	.102	.085	.196	.786
3803	.126	.148	.136	.022	.234	.144	.067	.102	.057	.102	.783
3804	.277	.25	.205	.312	.252	.27	.286	.136	.385	.164	.729
3805	.079	.045	.091	.0	.108	.087	.051	.0	.157	.047	.871
3806	.324	.159	.348	.0	.234	.396	.328	.374	.271	.11	.823
3807	.194	.148	.212	.045	.252	.218	.21	.136	.385	.094	.857
3808	.164	.136	.189	.022	.198	.178	.194	.102	.1	.094	.829
3809	.488	.409	.606	.112	.522	.522	.429	.306	.413	.274	.829
3810	.222	.193	.159	.089	.378	.248	.16	.068	.214	.125	.75
3811	.205	.182	.159	.045	.414	.17	.269	.034	.271	.125	.8
3812	.179	.159	.121	.045	.072	.191	.269	.136	.1	.11	.759
3813	.209	.114	.136	.112	.252	.235	.202	.068	.1	.078	.734
3814	.26	.125	.083	.067	.216	.283	.303	.136	.0	.086	.653
3815	.26	.307	.197	.112	.306	.279	.278	.034	.228	.211	.78
3816	.205	.216	.106	.089	.162	.248	.202	.034	.142	.141	.746
3817	.083	.159	.03	.045	.108	.057	.135	.068	.057	.102	.691
3818	.215	.193	.311	.112	.198	.244	.236	.034	.028	.117	.857
3819	.478	.489	.144	.022	.558	.496	.581	.374	.014	.336	.658
3820	.228	.273	.182	.112	.27	.222	.303	.102	.256	.188	.796
3821	.222	.159	.242	.112	.234	.261	.177	.306	.085	.11	.808
3822	.267	.148	.394	.089	.306	.313	.253	.374	.157	.094	.87
3823	.115	.102	.114	.067	.09	.113	.143	.0	.242	.07	.788
3824	.371	.352	.242	.067	.288	.383	.404	.204	.47	.235	.735
3825	.258	.17	.333	.067	.18	.296	.303	.068	.157	.11	.851
3826	.412	.375	.341	.268	.45	.37	.446	.238	.741	.25	.745
3827	.337	.239	.318	.29	.288	.435	.185	.0	.299	.164	.77
3828	.171	.227	.076	.134	.126	.17	.185	.068	.185	.149	.653
3829	.288	.216	.341	.067	.234	.383	.236	.17	.256	.149	.865
3830	.279	.17	.189	.089	.306	.287	.261	.17	.185	.117	.724
3831	.181	.205	.159	.089	.198	.191	.16	.068	.328	.133	.788
3832	.301	.273	.129	.022	.252	.348	.253	.0	.228	.18	.7
3833	.369	.432	.326	.022	.342	.426	.337	.136	.057	.297	.726
3834	.254	.193	.083	.089	.324	.235	.328	.442	.014	.133	.647
3835	.241	.17	.273	.089	.234	.279	.253	.102	.157	.117	.788
3836	.439	.307	.417	.067	.665	.474	.337	.272	.256	.211	.753
3837	.162	.114	.227	.0	.18	.196	.177	.136	.142	.078	.873
3838	.168	.102	.182	.089	.198	.174	.16	.068	.114	.063	.743
3839	.192	.227	.098	.022	.162	.187	.202	.17	.185	.149	.698
3840	.557	.557	.439	.089	.594	.544	.631	.612	.342	.383	.75
3841	.132	.148	.068	.022	.126	.183	.101	.068	.043	.094	.721
3842	.264	.375	.136	.268	.234	.265	.253	.17	.014	.25	.722
3843	.311	.25	.129	.112	.432	.396	.194	.17	.128	.172	.684
3844	.324	.239	.311	.089	.324	.374	.303	.204	.242	.156	.775
3845	.051	.068	.03	.045	.054	.048	.051	.034	.028	.047	.624
3846	.348	.273	.25	.29	.432	.261	.337	.238	.57	.188	.685
3847	.557	.466	.348	.29	.45	.574	.581	.238	.214	.313	.682
3848	.303	.182	.295	.134	.162	.344	.345	.17	.228	.125	.763
