id	mls	mlt	mlc	c_s	vp_t	c_t	dc_c	dc_t	t_s	ct_t	cp_t	cp_c	cn_t	cn_c
4068	0.0525	0.0365	0.0396	0.1715	0.1213	0.1455	0.4583	0.0812	0.1709	0.0960	0.0293	0.0341	0.0433	0.0800	
4069	0.0516	0.0456	0.0385	0.1738	0.1815	0.1865	0.5625	0.1278	0.1351	0.1172	0.1313	0.1193	0.0801	0.1152	
4070	0.0644	0.0497	0.0487	0.1648	0.1568	0.1610	0.4706	0.0923	0.1484	0.1077	0.1524	0.1604	0.0538	0.0896	
4071	0.0537	0.0416	0.0433	0.1597	0.1348	0.1515	0.4750	0.0877	0.1528	0.1062	0.1829	0.2045	0.0611	0.1081	
4072	0.0486	0.0427	0.0484	0.1318	0.1404	0.1389	0.4394	0.0744	0.1375	0.0769	0.1287	0.1570	0.0612	0.1182	
4073	0.0301	0.0244	0.0228	0.1956	0.1456	0.1687	0.4388	0.0902	0.1681	0.1070	0.0277	0.0278	0.0328	0.0522	
4074	0.0683	0.0434	0.0459	0.1838	0.1345	0.1492	0.2769	0.0504	0.1786	0.0559	0.0961	0.1091	0.0516	0.0928	
4075	0.0608	0.0392	0.0401	0.1907	0.1395	0.1541	0.4237	0.0796	0.1794	0.0955	0.0841	0.0925	0.0516	0.0898	
4076	0.0529	0.0449	0.0429	0.1592	0.1505	0.1650	0.4918	0.0989	0.1399	0.0989	0.1220	0.1252	0.0700	0.1139	
4077	0.0683	0.0469	0.0402	0.2098	0.1766	0.1840	0.5294	0.1187	0.1653	0.1121	0.1045	0.0963	0.0442	0.0645	
4078	0.0683	0.0573	0.0452	0.1867	0.1933	0.2000	0.4697	0.1145	0.1353	0.1145	0.0976	0.0826	0.0936	0.1255	
4079	0.0560	0.0383	0.0364	0.1964	0.1412	0.1658	0.4321	0.0873	0.1716	0.0923	0.0989	0.1010	0.0316	0.0511	
4080	0.0908	0.0696	0.0653	0.1648	0.1661	0.1680	0.4902	0.1003	0.1422	0.1043	0.0954	0.0963	0.1114	0.1780	
4081	0.0691	0.0603	0.0441	0.1929	0.1952	0.2153	0.5556	0.1457	0.1299	0.1457	0.1412	0.1111	0.0933	0.1162	
4082	0.0894	0.0627	0.0427	0.2489	0.1966	0.2315	0.6364	0.1795	0.1558	0.1744	0.3388	0.2479	0.1061	0.1230	
4083	0.0563	0.0391	0.0298	0.2410	0.1599	0.2069	0.5211	0.1314	0.1688	0.1349	0.1595	0.1306	0.0569	0.0738	
4084	0.0592	0.0459	0.0502	0.1488	0.1348	0.1439	0.4386	0.0769	0.1498	0.0769	0.1626	0.1914	0.0654	0.1219	
4085	0.0411	0.0380	0.0558	0.1003	0.0983	0.1073	0.2647	0.0346	0.1355	0.0346	0.0407	0.0641	0.0552	0.1380	
4086	0.0608	0.0512	0.0491	0.1557	0.1498	0.1641	0.5128	0.1026	0.1375	0.0974	0.0949	0.0979	0.0401	0.0656	
4087	0.0713	0.0516	0.0439	0.1991	0.1810	0.1852	0.4545	0.1026	0.1558	0.1077	0.0949	0.0868	0.0602	0.0872	
4088	0.0649	0.0552	0.0640	0.1260	0.1395	0.1358	0.4615	0.0764	0.1345	0.0796	0.0589	0.0734	0.0872	0.1722	
4089	0.0459	0.0281	0.0344	0.1770	0.0980	0.1286	0.3288	0.0515	0.1994	0.0644	0.0340	0.0448	0.0292	0.0609	
4090	0.0525	0.0409	0.0418	0.1623	0.1415	0.1543	0.4545	0.0855	0.1525	0.0786	0.0542	0.0595	0.0376	0.0654	
4091	0.0843	0.0667	0.0408	0.2473	0.2547	0.2576	0.5882	0.1846	0.1391	0.2031	0.0976	0.0641	0.1755	0.1828	
4092	0.0412	0.0342	0.0299	0.1873	0.1666	0.1803	0.5362	0.1178	0.1506	0.1178	0.0925	0.0869	0.0397	0.0592	
4093	0.0877	0.0555	0.0449	0.2327	0.1625	0.1948	0.5000	0.1187	0.1732	0.1352	0.1829	0.1591	0.0915	0.1261	
4094	0.0808	0.0528	0.0417	0.2331	0.1629	0.1995	0.4810	0.1169	0.1694	0.1385	0.0894	0.0759	0.0717	0.0964	
4095	0.0637	0.0462	0.0457	0.1739	0.1455	0.1593	0.4390	0.0852	0.1583	0.1041	0.1001	0.1064	0.1111	0.1872	
4096	0.0633	0.0523	0.0447	0.1770	0.1685	0.1843	0.5342	0.1200	0.1391	0.1292	0.1057	0.0971	0.0935	0.1360	
4097	0.0480	0.0362	0.0377	0.1677	0.1445	0.1515	0.4524	0.0835	0.1604	0.0923	0.1045	0.1169	0.0549	0.0972	
4098	0.0883	0.0745	0.0737	0.1425	0.2360	0.1591	0.5238	0.1015	0.1299	0.1015	0.1463	0.1558	0.1376	0.2321	
4099	0.0606	0.0504	0.0656	0.1164	0.1067	0.1212	0.3750	0.0554	0.1391	0.0554	0.1382	0.1932	0.0419	0.0927	
4100	0.0383	0.0376	0.0559	0.0950	0.1096	0.1061	0.3929	0.0508	0.1299	0.0554	0.1829	0.2922	0.0387	0.0979	
4101	0.0719	0.0555	0.0421	0.2093	0.1893	0.2076	0.5541	0.1402	0.1461	0.1436	0.1084	0.0885	0.0726	0.0939	
4102	0.0464	0.0498	0.0659	0.0933	0.1445	0.1190	0.5000	0.0725	0.1136	0.0725	0.1394	0.1983	0.0455	0.1025	
4103	0.0645	0.0488	0.0474	0.1697	0.1364	0.1623	0.4667	0.0923	0.1515	0.0879	0.0465	0.0485	0.0582	0.0961	
4104	0.0706	0.0485	0.0547	0.1584	0.1331	0.1396	0.3714	0.0632	0.1645	0.0680	0.0642	0.0779	0.0579	0.1114	
4105	0.0688	0.0565	0.0487	0.1739	0.1718	0.1827	0.4878	0.1086	0.1380	0.1249	0.1865	0.1730	0.0739	0.1085	
4106	0.0548	0.0411	0.0418	0.1679	0.1148	0.1548	0.4043	0.0763	0.1572	0.0883	0.2333	0.2553	0.0598	0.1037	
4107	0.0394	0.0405	0.0285	0.1900	0.2543	0.2233	0.6786	0.1846	0.1234	0.1846	0.1155	0.0877	0.0733	0.0881	
4108	0.0801	0.0579	0.0734	0.1316	0.1282	0.1243	0.3438	0.0521	0.1535	0.0497	0.0750	0.1023	0.0692	0.1495	
4109	0.0529	0.0428	0.0551	0.1239	0.1167	0.1224	0.3571	0.0533	0.1468	0.0604	0.0563	0.0779	0.0992	0.2176	
4110	0.0947	0.0548	0.0549	0.2036	0.1296	0.1573	0.3704	0.0710	0.1876	0.1136	0.1689	0.1818	0.0926	0.1580	
4111	0.0834	0.0542	0.0456	0.2193	0.1586	0.1872	0.5000	0.1140	0.1698	0.1303	0.1004	0.0909	0.1189	0.1704	
4112	0.0552	0.0500	0.0260	0.2715	0.2528	0.3030	0.6875	0.2538	0.1299	0.2538	0.1220	0.0682	0.0473	0.0419	
4113	0.0365	0.0383	0.0377	0.1357	0.1654	0.1599	0.5526	0.1077	0.1230	0.1026	0.0813	0.0861	0.0430	0.0721	
4114	0.0416	0.0364	0.0416	0.1357	0.1277	0.1377	0.4333	0.0727	0.1429	0.0755	0.0739	0.0909	0.0349	0.0680	
4115	0.0507	0.0467	0.0389	0.1697	0.1779	0.1894	0.6667	0.1538	0.1299	0.1538	0.0407	0.0364	0.0745	0.1056	
4116	0.0582	0.0494	0.0544	0.1357	0.1529	0.1431	0.4706	0.0821	0.1375	0.0769	0.0813	0.0963	0.0688	0.1290	
4117	0.0676	0.0504	0.0457	0.1830	0.1498	0.1740	0.5000	0.1060	0.1525	0.1162	0.1265	0.1232	0.0854	0.1317	
4118	0.0700	0.0610	0.0568	0.1514	0.1729	0.1690	0.5517	0.1136	0.1299	0.1136	0.2251	0.2257	0.1085	0.1723	
4119	0.0180	0.0272	0.0390	0.0820	0.0927	0.1098	0.3448	0.0462	0.1082	0.0369	0.1220	0.1881	0.0421	0.1029	
4120	0.0534	0.0450	0.0392	0.1753	0.1469	0.1807	0.4839	0.1065	0.1407	0.1065	0.1126	0.1055	0.0887	0.1317	
4121	0.0289	0.0345	0.0359	0.1207	0.1545	0.1515	0.5312	0.0981	0.1154	0.0981	0.0610	0.0682	0.0505	0.0895	
4122	0.0711	0.0540	0.0375	0.2327	0.1685	0.2273	0.5417	0.1500	0.1484	0.1500	0.0915	0.0682	0.1011	0.1193	
4123	0.0688	0.0546	0.0568	0.1493	0.1353	0.1515	0.4545	0.0839	0.1429	0.0881	0.0665	0.0744	0.0798	0.1412	
4124	0.0760	0.0654	0.0544	0.1697	0.2060	0.1894	0.6000	0.1385	0.1299	0.1385	0.0407	0.0364	0.1491	0.2112	
4125	0.0512	0.0411	0.0490	0.1357	0.1124	0.1321	0.3676	0.0592	0.1490	0.0615	0.0938	0.1203	0.0547	0.1111	
4126	0.0706	0.0516	0.0426	0.2036	0.1775	0.1909	0.5397	0.1255	0.1546	0.1329	0.1659	0.1472	0.0585	0.0822	
4127	0.0376	0.0345	0.0330	0.1584	0.1414	0.1646	0.5079	0.1019	0.1395	0.1050	0.0841	0.0866	0.0469	0.0764	
4128	0.0476	0.0358	0.0394	0.1591	0.1326	0.1431	0.3824	0.0667	0.1612	0.0769	0.0610	0.0722	0.0459	0.0860	
4129	0.0529	0.0397	0.0356	0.1918	0.1485	0.1759	0.4769	0.1022	0.1581	0.1187	0.0958	0.0923	0.0510	0.0778	
4130	0.0210	0.0258	0.0364	0.0963	0.1083	0.1114	0.3115	0.0423	0.1253	0.0434	0.0470	0.0715	0.0249	0.0599	
4131	0.0464	0.0406	0.0490	0.1257	0.1143	0.1306	0.4600	0.0732	0.1395	0.0700	0.1682	0.2182	0.0819	0.1682	
4132	0.0381	0.0359	0.0504	0.1049	0.0928	0.1120	0.2647	0.0361	0.1358	0.0281	0.0318	0.0481	0.0269	0.0645	
4133	0.0496	0.0422	0.0457	0.1417	0.1564	0.1454	0.4366	0.0773	0.1413	0.0848	0.1450	0.1690	0.0516	0.0953	
4134	0.0742	0.0600	0.0655	0.1380	0.1422	0.1444	0.4098	0.0721	0.1385	0.0750	0.1220	0.1431	0.0769	0.1428	
4135	0.1581	0.1258	0.0523	0.3394	0.5136	0.3788	0.7714	0.3560	0.1299	0.3560	0.3136	0.1402	0.4423	0.3133	
4136	0.0525	0.0480	0.0444	0.1527	0.1685	0.1705	0.6111	0.1269	0.1299	0.1269	0.1524	0.1515	0.0495	0.0779	
4137	0.0807	0.0634	0.0477	0.2036	0.1966	0.2093	0.5905	0.1506	0.1410	0.1579	0.1926	0.1558	0.1105	0.1416	
4138	0.0533	0.0395	0.0431	0.1592	0.1492	0.1444	0.4426	0.0779	0.1598	0.0750	0.0610	0.0715	0.0559	0.1039	
4139	0.0706	0.0645	0.0670	0.1293	0.1376	0.1515	0.4250	0.0785	0.1237	0.0785	0.1951	0.2182	0.0834	0.1477	
4140	0.0282	0.0280	0.0340	0.1253	0.1244	0.1299	0.4167	0.0659	0.1399	0.0659	0.0697	0.0909	0.0577	0.1193	
4141	0.0758	0.0608	0.0493	0.1867	0.1835	0.1944	0.5714	0.1354	0.1391	0.1385	0.1870	0.1629	0.0717	0.0989	
4142	0.0385	0.0360	0.0336	0.1584	0.1379	0.1687	0.5918	0.1217	0.1361	0.1133	0.0776	0.0779	0.0344	0.0547	
4143	0.0790	0.0636	0.0523	0.1824	0.1685	0.1916	0.6047	0.1412	0.1380	0.1412	0.1578	0.1395	0.0729	0.1020	
4144	0.0550	0.0432	0.0519	0.1357	0.1386	0.1313	0.4615	0.0738	0.1498	0.0738	0.0488	0.0629	0.0505	0.1031	
4145	0.0607	0.0462	0.0429	0.1779	0.1537	0.1693	0.5132	0.1059	0.1523	0.1140	0.0789	0.0789	0.0769	0.1219	
4146	0.0334	0.0329	0.0381	0.1260	0.1337	0.1358	0.3654	0.0605	0.1345	0.0605	0.0589	0.0734	0.0469	0.0926	
4147	0.0501	0.0463	0.0365	0.1794	0.1685	0.2002	0.5946	0.1451	0.1299	0.1451	0.1045	0.0885	0.0836	0.1120	
4148	0.0567	0.0458	0.0503	0.1436	0.1472	0.1437	0.4545	0.0796	0.1449	0.0923	0.0757	0.0892	0.0575	0.1074	
4149	0.0652	0.0413	0.0311	0.2602	0.1843	0.2091	0.5652	0.1440	0.1804	0.1477	0.0293	0.0237	0.0688	0.0883	
4150	0.0525	0.0480	0.0405	0.1674	0.1798	0.1869	0.6486	0.1477	0.1299	0.1354	0.0976	0.0885	0.0470	0.0675	
4151	0.0592	0.0530	0.0494	0.1514	0.1729	0.1690	0.6207	0.1278	0.1299	0.1278	0.1689	0.1693	0.0569	0.0903	
4152	0.0730	0.0568	0.0358	0.2489	0.1910	0.2500	0.6061	0.1846	0.1443	0.1754	0.1463	0.0992	0.0826	0.0886	
4153	0.0235	0.0240	0.0238	0.1584	0.1573	0.1591	0.4524	0.0877	0.1443	0.0877	0.0610	0.0649	0.0310	0.0522	
4154	0.0633	0.0436	0.0333	0.2376	0.1685	0.2062	0.4898	0.1231	0.1670	0.1436	0.1490	0.1225	0.1128	0.1467	
4155	0.1161	0.0554	0.0395	0.3394	0.1826	0.2210	0.5429	0.1462	0.2226	0.2000	0.2439	0.1870	0.0631	0.0766	
4156	0.0972	0.0810	0.0561	0.2036	0.1810	0.2273	0.3704	0.1026	0.1299	0.1026	0.1084	0.0808	0.0726	0.0857	
4157	0.0445	0.0333	0.0376	0.1584	0.1242	0.1396	0.3714	0.0632	0.1645	0.0680	0.1027	0.1247	0.0516	0.0992	
4158	0.0365	0.0341	0.0345	0.1485	0.1404	0.1560	0.4857	0.0923	0.1380	0.0950	0.0646	0.0701	0.0460	0.0792	
4159	0.0433	0.0335	0.0398	0.1462	0.1088	0.1326	0.3571	0.0577	0.1598	0.0692	0.0610	0.0779	0.0516	0.1044	
4160	0.0825	0.0596	0.0388	0.2555	0.2107	0.2424	0.6094	0.1800	0.1528	0.1938	0.1098	0.0767	0.1153	0.1276	
4161	0.0579	0.0463	0.0541	0.1357	0.1217	0.1347	0.4062	0.0667	0.1461	0.0718	0.0542	0.0682	0.0602	0.1200	
4162	0.0569	0.0469	0.0669	0.1082	0.1172	0.1104	0.2941	0.0396	0.1421	0.0396	0.1185	0.1818	0.0644	0.1565	
4163	0.0688	0.0600	0.0588	0.1442	0.1826	0.1610	0.5882	0.1154	0.1299	0.1154	0.3354	0.3530	0.0645	0.1075	
4164	0.0366	0.0312	0.0378	0.1357	0.1144	0.1299	0.3958	0.0626	0.1515	0.0593	0.0871	0.1136	0.0332	0.0685	
4165	0.0424	0.0378	0.0444	0.1291	0.1187	0.1343	0.3718	0.0608	0.1394	0.0608	0.0998	0.1259	0.0489	0.0976	
4166	0.0374	0.0331	0.0425	0.1227	0.1085	0.1228	0.3191	0.0477	0.1449	0.0509	0.0673	0.0928	0.0415	0.0907	
4167	0.0658	0.0434	0.0264	0.3092	0.2060	0.2588	0.6098	0.1923	0.1732	0.2077	0.1016	0.0665	0.0344	0.0357	
4168	0.0546	0.0414	0.0430	0.1629	0.1467	0.1515	0.3889	0.0718	0.1558	0.0821	0.1220	0.1364	0.0545	0.0965	
4169	0.0571	0.0431	0.0397	0.1827	0.1377	0.1711	0.4286	0.0893	0.1548	0.0923	0.0708	0.0701	0.0499	0.0783	
4170	0.0307	0.0307	0.0365	0.1239	0.1334	0.1326	0.3810	0.0615	0.1355	0.0615	0.1016	0.1299	0.0559	0.1131	
4171	0.0770	0.0461	0.0452	0.2066	0.1328	0.1607	0.4143	0.0811	0.1863	0.0923	0.0961	0.1013	0.0516	0.0862	
4172	0.0717	0.0595	0.0537	0.1635	0.1930	0.1746	0.5472	0.1164	0.1358	0.1164	0.1591	0.1544	0.0755	0.1161	
4173	0.0729	0.0504	0.0428	0.2079	0.1657	0.1856	0.4694	0.1062	0.1623	0.1154	0.1220	0.1113	0.0404	0.0584	
4174	0.0656	0.0540	0.0387	0.2106	0.2175	0.2199	0.5667	0.1519	0.1388	0.1548	0.1259	0.0970	0.1154	0.1408	
4175	0.0579	0.0520	0.0541	0.1357	0.1545	0.1515	0.4375	0.0808	0.1299	0.0923	0.1372	0.1534	0.0828	0.1466	
4176	0.0506	0.0421	0.0417	0.1579	0.1322	0.1589	0.4299	0.0833	0.1440	0.0905	0.0765	0.0815	0.0492	0.0831	
4177	0.0615	0.0513	0.0525	0.1471	0.1422	0.1539	0.4308	0.0808	0.1385	0.0808	0.1600	0.1762	0.0801	0.1397	
4178	0.0496	0.0379	0.0288	0.2251	0.1881	0.2075	0.4603	0.1164	0.1572	0.1284	0.1167	0.0952	0.0434	0.0561	
4179	0.0271	0.0247	0.0267	0.1551	0.1169	0.1455	0.4167	0.0738	0.1546	0.0738	0.0976	0.1136	0.0372	0.0685	
4180	0.0702	0.0484	0.0389	0.2215	0.1615	0.1957	0.5161	0.1231	0.1641	0.1500	0.0915	0.0792	0.0552	0.0757	
4181	0.0801	0.0627	0.0447	0.2160	0.1779	0.2210	0.5429	0.1462	0.1417	0.1462	0.1016	0.0779	0.1046	0.1271	
4182	0.0465	0.0437	0.0345	0.1789	0.1864	0.1997	0.5862	0.1427	0.1299	0.1343	0.0887	0.0752	0.0446	0.0599	
4183	0.0478	0.0416	0.0481	0.1309	0.1323	0.1364	0.4568	0.0759	0.1391	0.0697	0.0759	0.0943	0.0512	0.1008	
4184	0.0673	0.0487	0.0507	0.1643	0.1221	0.1515	0.4130	0.0763	0.1572	0.0763	0.1697	0.1897	0.0658	0.1166	
4185	0.0579	0.0466	0.0584	0.1258	0.1079	0.1256	0.3333	0.0510	0.1451	0.0510	0.1797	0.2424	0.0353	0.0754	
4186	0.0548	0.0458	0.0397	0.1771	0.1775	0.1818	0.4500	0.0997	0.1412	0.1034	0.1561	0.1455	0.0606	0.0894	
4187	0.1666	0.1585	0.0717	0.2602	0.4270	0.3485	0.7391	0.3138	0.1082	0.3138	0.3902	0.1897	0.3028	0.2331	
4188	0.0450	0.0352	0.0244	0.2465	0.1905	0.2273	0.5942	0.1645	0.1572	0.1726	0.0742	0.0553	0.0531	0.0627	
4189	0.0561	0.0435	0.0372	0.1923	0.1726	0.1840	0.5294	0.1187	0.1515	0.1121	0.1045	0.0963	0.0418	0.0609	
4190	0.0492	0.0440	0.0570	0.1131	0.1445	0.1218	0.4222	0.0626	0.1347	0.0593	0.0610	0.0849	0.0706	0.1557	
4191	0.0183	0.0229	0.0185	0.1745	0.1766	0.1948	0.6111	0.1451	0.1299	0.1451	0.1742	0.1515	0.0393	0.0542	
4192	0.0503	0.0387	0.0345	0.1900	0.1615	0.1768	0.4286	0.0923	0.1558	0.0885	0.0915	0.0877	0.0409	0.0620	
4193	0.0483	0.0417	0.0405	0.1566	0.1565	0.1623	0.5000	0.0989	0.1399	0.1055	0.1045	0.1091	0.0651	0.1076	
4194	0.0663	0.0512	0.0555	0.1481	0.1348	0.1455	0.4167	0.0738	0.1476	0.0812	0.1073	0.1250	0.0846	0.1561	
4195	0.0528	0.0414	0.0494	0.1380	0.1220	0.1320	0.3443	0.0554	0.1515	0.0580	0.0976	0.1252	0.0550	0.1119	
4196	0.0758	0.0621	0.0603	0.1527	0.1578	0.1623	0.5111	0.1011	0.1364	0.1055	0.1394	0.1455	0.0860	0.1422	
4197	0.0539	0.0452	0.0276	0.2508	0.2202	0.2576	0.6235	0.1957	0.1412	0.1957	0.1171	0.0770	0.0557	0.0581	
4198	0.0525	0.0460	0.0469	0.1446	0.1451	0.1547	0.4286	0.0808	0.1355	0.0808	0.1220	0.1336	0.0480	0.0833	
4199	0.0577	0.0467	0.0520	0.1408	0.1161	0.1414	0.3929	0.0677	0.1443	0.0708	0.1545	0.1851	0.0499	0.0947	
4200	0.0509	0.0469	0.0379	0.1745	0.1926	0.1948	0.5556	0.1319	0.1299	0.1319	0.1742	0.1515	0.0344	0.0474	
4201	0.0708	0.0467	0.0447	0.1944	0.1279	0.1646	0.4127	0.0828	0.1712	0.0955	0.0589	0.0606	0.0599	0.0977	
4202	0.0626	0.0537	0.0509	0.1538	0.1939	0.1662	0.5588	0.1132	0.1342	0.1191	0.1023	0.1043	0.0966	0.1559	
4203	0.0543	0.0395	0.0352	0.1980	0.1386	0.1768	0.5000	0.1077	0.1623	0.1108	0.0813	0.0779	0.0522	0.0792	
4204	0.0385	0.0352	0.0393	0.1357	0.1423	0.1414	0.4286	0.0738	0.1391	0.0800	0.1138	0.1364	0.0688	0.1306	
4205	0.0108	0.0186	0.0254	0.0963	0.0941	0.1155	0.3770	0.0531	0.1208	0.0531	0.0671	0.0983	0.0219	0.0509	
4206	0.1449	0.0929	0.0966	0.1697	0.1910	0.1515	0.4000	0.0738	0.1623	0.0923	0.2439	0.2727	0.1376	0.2437	
4207	0.0446	0.0406	0.0415	0.1439	0.1513	0.1544	0.4340	0.0817	0.1351	0.0852	0.0844	0.0926	0.0615	0.1069	
4208	0.0926	0.0682	0.0996	0.1100	0.1209	0.1079	0.2553	0.0336	0.1478	0.0336	0.1109	0.1741	0.1178	0.2930	
4209	0.0479	0.0388	0.0438	0.1440	0.1168	0.1396	0.4000	0.0680	0.1495	0.0632	0.0706	0.0857	0.0462	0.0888	
4210	0.0815	0.0694	0.0173	0.5656	0.4682	0.6313	0.6800	0.5231	0.1299	0.4615	0.0813	0.0218	0.3498	0.1487	
4211	0.0742	0.0466	0.0355	0.2545	0.1685	0.2066	0.5333	0.1343	0.1786	0.1511	0.0222	0.0182	0.0829	0.1076	
4212	0.0545	0.0466	0.0458	0.1527	0.1388	0.1604	0.5833	0.1140	0.1380	0.0977	0.1435	0.1515	0.0506	0.0846	
4213	0.0421	0.0373	0.0429	0.1329	0.1318	0.1369	0.4043	0.0675	0.1407	0.0675	0.1126	0.1393	0.0437	0.0856	
4214	0.0393	0.0383	0.0508	0.1064	0.1184	0.1188	0.3103	0.0449	0.1299	0.0449	0.0857	0.1222	0.0404	0.0914	
4215	0.0546	0.0414	0.0279	0.2511	0.2060	0.2336	0.5676	0.1615	0.1558	0.1615	0.1829	0.1327	0.0616	0.0708	
4216	0.0383	0.0342	0.0326	0.1629	0.1430	0.1653	0.5417	0.1091	0.1429	0.1091	0.0665	0.0682	0.0563	0.0914	
4217	0.0351	0.0318	0.0417	0.1192	0.1167	0.1199	0.3056	0.0446	0.1441	0.0456	0.0509	0.0719	0.0248	0.0554	
4218	0.0268	0.0246	0.0251	0.1635	0.1383	0.1544	0.4340	0.0817	0.1535	0.0923	0.0750	0.0823	0.0291	0.0506	
4219	0.0532	0.0371	0.0379	0.1810	0.1287	0.1543	0.4107	0.0772	0.1701	0.0873	0.0532	0.0584	0.0532	0.0925	
4220	0.0592	0.0484	0.0437	0.1713	0.1417	0.1746	0.4906	0.1043	0.1422	0.1164	0.1697	0.1647	0.0778	0.1196	
4221	0.0594	0.0365	0.0276	0.2715	0.1791	0.2083	0.5682	0.1442	0.1889	0.1615	0.1524	0.1240	0.0742	0.0955	
4222	0.0610	0.0496	0.0457	0.1676	0.1862	0.1710	0.4430	0.0923	0.1421	0.0923	0.1115	0.1105	0.0899	0.1411	
4223	0.0978	0.0698	0.0635	0.1810	0.1324	0.1732	0.4375	0.0923	0.1515	0.0989	0.1394	0.1364	0.0577	0.0895	
4224	0.0422	0.0366	0.0326	0.1750	0.1498	0.1768	0.5306	0.1143	0.1435	0.1187	0.0581	0.0556	0.0369	0.0560	
4225	0.0557	0.0412	0.0248	0.2866	0.2298	0.2617	0.5263	0.1678	0.1587	0.1846	0.1257	0.0813	0.0553	0.0566	
4226	0.0633	0.0560	0.0703	0.1125	0.1172	0.1255	0.3448	0.0527	0.1299	0.0580	0.2230	0.3009	0.0880	0.1880	
4227	0.0508	0.0468	0.0557	0.1188	0.1180	0.1326	0.5143	0.0831	0.1299	0.0831	0.0488	0.0623	0.0636	0.1288	
4228	0.0677	0.0564	0.0587	0.1425	0.1284	0.1515	0.5476	0.1011	0.1364	0.1055	0.0697	0.0779	0.0631	0.1117	
4229	0.0781	0.0520	0.0443	0.2133	0.1717	0.1852	0.4545	0.1026	0.1670	0.1128	0.0813	0.0744	0.0688	0.0997	
4230	0.0416	0.0334	0.0333	0.1697	0.1326	0.1578	0.4133	0.0795	0.1558	0.0897	0.0745	0.0800	0.0440	0.0747	
4231	0.0440	0.0418	0.0356	0.1659	0.1623	0.1852	0.5455	0.1231	0.1299	0.1231	0.1355	0.1240	0.0478	0.0692	
4232	0.0633	0.0472	0.0504	0.1570	0.1404	0.1475	0.4189	0.0753	0.1542	0.0729	0.1091	0.1253	0.0539	0.0980	
4233	0.0545	0.0495	0.0749	0.0933	0.1088	0.1042	0.2273	0.0288	0.1299	0.0288	0.0915	0.1487	0.0645	0.1662	
4234	0.0283	0.0247	0.0270	0.1584	0.1200	0.1446	0.4048	0.0713	0.1587	0.0755	0.0333	0.0389	0.0266	0.0493	
4235	0.0618	0.0512	0.0421	0.1842	0.1760	0.1919	0.5789	0.1354	0.1391	0.1415	0.0813	0.0718	0.0516	0.0721	
4236	0.0590	0.0528	0.0458	0.1629	0.2247	0.1818	0.5833	0.1292	0.1299	0.1292	0.0976	0.0909	0.0516	0.0762	
4237	0.0720	0.0568	0.0419	0.2104	0.1788	0.2135	0.6129	0.1594	0.1429	0.1846	0.0665	0.0528	0.0860	0.1081	
4238	0.0648	0.0571	0.0495	0.1629	0.1835	0.1818	0.5000	0.1108	0.1299	0.1169	0.1789	0.1667	0.1147	0.1692	
4239	0.0463	0.0435	0.0434	0.1417	0.1539	0.1581	0.4792	0.0923	0.1299	0.0923	0.1272	0.1364	0.0524	0.0888	
4240	0.0432	0.0412	0.0261	0.2230	0.2006	0.2489	0.6957	0.2110	0.1299	0.2110	0.1045	0.0711	0.0713	0.0768	
4241	0.0394	0.0394	0.0556	0.0975	0.1050	0.1116	0.4107	0.0559	0.1265	0.0510	0.1733	0.2630	0.0629	0.1512	
4242	0.0772	0.0560	0.0329	0.2838	0.2290	0.2681	0.6522	0.2130	0.1535	0.2485	0.0563	0.0356	0.0662	0.0662	
4243	0.2807	0.6485	0.3372	0.0905	0.3371	0.3030	1.0000	0.3692	0.0433	0.3692	0.2439	0.1364	0.2924	0.2589	
4244	0.0488	0.0371	0.0455	0.1408	0.1107	0.1286	0.3929	0.0615	0.1587	0.0671	0.0961	0.1266	0.0448	0.0936	
4245	0.0758	0.0652	0.0352	0.2618	0.2729	0.2922	0.7407	0.2637	0.1299	0.2637	0.1045	0.0606	0.0958	0.0880	
4246	0.0409	0.0360	0.0369	0.1511	0.1471	0.1537	0.4203	0.0787	0.1424	0.0842	0.0717	0.0790	0.0415	0.0724	
4247	0.1109	0.0911	0.0474	0.2715	0.2739	0.3030	0.6250	0.2308	0.1299	0.2308	0.2134	0.1193	0.2021	0.1790	
4248	0.0351	0.0284	0.0333	0.1493	0.1232	0.1344	0.4364	0.0715	0.1610	0.0715	0.1259	0.1587	0.0322	0.0642	
4249	0.0513	0.0498	0.0345	0.1929	0.2278	0.2273	0.6111	0.1692	0.1230	0.1692	0.2032	0.1515	0.0659	0.0779	
4250	0.0582	0.0470	0.0544	0.1357	0.1292	0.1364	0.4444	0.0738	0.1443	0.0738	0.1280	0.1591	0.0722	0.1422	
4251	0.0359	0.0289	0.0401	0.1260	0.1145	0.1136	0.3333	0.0462	0.1608	0.0533	0.0469	0.0699	0.0503	0.1187	
4252	0.0742	0.0486	0.0553	0.1635	0.1279	0.1385	0.3774	0.0637	0.1712	0.0859	0.1261	0.1544	0.0652	0.1265	
4253	0.2291	0.2375	0.1482	0.1697	0.2996	0.2525	0.7000	0.2154	0.0974	0.2154	0.3252	0.2182	0.2351	0.2498	
4254	0.0664	0.0425	0.0383	0.2147	0.1381	0.1746	0.4044	0.0860	0.1782	0.1001	0.0827	0.0802	0.0656	0.1008	
4255	0.0389	0.0351	0.0250	0.2149	0.1858	0.2214	0.6053	0.1633	0.1407	0.1775	0.0563	0.0430	0.0543	0.0657	
