essId	avgDpt	dptSD	nbDptD	nbDptSD
3456	.26	.335	.119	.352
3457	.242	.253	.125	.251
3458	.336	.51	.217	.371
3459	.256	.243	.064	.17
3460	.196	.244	.107	.236
3461	.208	.189	.061	.166
3462	.249	.213	.094	.221
3463	.221	.199	.098	.167
3464	.202	.243	.076	.233
3465	.245	.188	.082	.241
3466	.194	.208	.09	.177
3467	.252	.261	.12	.189
3468	.251	.224	.095	.145
3469	.237	.23	.092	.216
3470	.23	.263	.118	.237
3471	.215	.25	.106	.18
3472	.248	.215	.086	.183
3473	.243	.052	.033	.032
3474	.193	.139	.057	.146
3475	.241	.345	.167	.301
3476	.265	.284	.103	.28
3477	.428	.636	.261	.517
3478	.278	.266	.088	.249
3479	.249	.192	.099	.178
3480	.251	.187	.08	.156
3481	.242	.264	.107	.265
3482	.264	.185	.072	.108
3483	.253	.379	.155	.375
3484	.27	.248	.106	.167
3485	.238	.222	.106	.204
3486	.288	.277	.138	.251
3487	.169	.224	.086	.218
3488	.245	.202	.093	.173
3489	.213	.212	.091	.215
3490	.301	.284	.14	.211
3491	.288	.313	.168	.302
3492	.296	.375	.135	.342
3493	.199	.279	.106	.252
3494	.229	.271	.099	.23
3495	.222	.261	.072	.256
3496	.292	.304	.125	.354
3497	.278	.394	.186	.344
3498	.32	.267	.1	.257
3499	.253	.395	.133	.391
3500	.044	.0	.044	.0
3501	.271	.265	.104	.229
3502	.211	.213	.08	.167
3503	.236	.24	.103	.21
3504	.226	.258	.113	.158
3505	.27	.314	.106	.26
3506	.244	.242	.093	.191
3507	.215	.219	.081	.194
3508	.249	.242	.105	.18
3509	.196	.237	.084	.204
3510	.044	.0	.044	.0
3511	.242	.293	.103	.304
3512	.299	.201	.1	.189
3513	.19	.194	.073	.151
3514	.55	.476	.236	.392
3515	.245	.182	.075	.146
3516	.26	.219	.094	.202
3517	.23	.219	.12	.179
3518	.256	.276	.081	.216
3519	.253	.284	.099	.183
3520	.283	.55	.111	.425
3521	.217	.243	.085	.214
3522	.178	.194	.066	.163
3523	.273	.318	.121	.28
3524	.205	.199	.095	.175
3525	.311	.346	.124	.265
3526	.261	.21	.119	.174
3527	.351	.437	.134	.387
3528	.238	.201	.088	.145
3529	.213	.252	.108	.192
3530	.27	.286	.128	.245
3531	.249	.188	.087	.174
3532	.289	.182	.06	.175
3533	.283	.334	.119	.182
3534	.324	.226	.077	.157
3535	.256	.227	.091	.175
3536	.234	.153	.072	.124
3537	.226	.166	.057	.118
3538	.334	.529	.189	.497
3539	.274	.215	.093	.181
3540	.227	.284	.111	.26
3541	.191	.19	.069	.178
3542	.253	.168	.053	.124
3543	.344	.193	.081	.174
3544	.265	.904	.332	.951
3545	.274	.333	.132	.295
3546	.232	.199	.083	.172
3547	.232	.218	.111	.171
3548	.239	.227	.084	.189
3549	.294	.276	.111	.215
3550	.245	.282	.12	.213
3551	.332	.29	.106	.296
3552	.213	.183	.058	.156
3553	.26	.286	.109	.216
3554	.219	.179	.061	.14
3555	.259	.252	.093	.191
3556	.226	.317	.105	.197
3557	.232	.209	.075	.15
3558	.368	.305	.093	.123
3559	.208	.286	.102	.251
3560	.217	.228	.088	.188
3561	.286	.281	.131	.208
3562	.246	.247	.114	.173
3563	.216	.183	.08	.143
3564	.216	.214	.099	.174
3565	.245	.26	.094	.238
3566	.239	.199	.063	.155
3567	.265	.274	.106	.266
3568	.24	.215	.076	.157
3569	.224	.276	.104	.207
3570	.204	.262	.105	.268
3571	.232	.289	.086	.163
3572	.044	.0	.044	.0
3573	.235	.232	.092	.17
3574	.239	.258	.116	.255
3575	.371	.363	.105	.261
3576	.245	.288	.099	.251
3577	.26	.359	.176	.289
3578	.23	.265	.096	.232
3579	.191	.218	.086	.214
3580	.26	.278	.14	.233
3581	.258	.284	.118	.251
3582	.133	.181	.133	.0
3583	.327	.23	.088	.22
3584	.203	.262	.1	.201
3585	.231	.237	.115	.197
3586	.296	.298	.107	.185
3587	.21	.479	.332	.0
3588	.311	.246	.1	.201
3589	.246	.254	.091	.22
3590	.343	.283	.108	.25
3591	.216	.287	.092	.173
3592	.299	.315	.134	.173
3593	.24	.234	.07	.175
3594	.317	.385	.127	.303
3595	.222	.247	.083	.182
3596	.244	.343	.138	.344
3597	.197	.092	.047	.097
3598	.268	.17	.056	.127
3599	.328	.325	.09	.165
3600	.255	.162	.07	.158
3601	.237	.259	.106	.202
3602	.433	.34	.188	.239
3603	.245	.248	.094	.237
3604	.424	.347	.217	.221
3605	.254	.29	.118	.272
3606	.224	.213	.086	.153
3607	.259	.235	.094	.216
3608	.288	.279	.085	.212
3609	.184	.177	.067	.14
3610	.233	.224	.095	.227
3611	.257	.202	.06	.121
3612	.253	.289	.121	.207
3613	.177	.203	.074	.176
3614	.269	.347	.125	.359
3615	.269	.426	.156	.474
3616	.294	.365	.155	.278
3617	.229	.274	.113	.253
3618	.253	.238	.085	.176
3619	.238	.271	.118	.251
3620	.235	.252	.108	.232
3621	.245	.204	.076	.141
3622	.309	.237	.111	.17
3623	.257	.28	.098	.381
3624	.205	.162	.058	.137
3625	.214	.232	.099	.179
3626	.264	.288	.115	.233
3627	.338	.144	.054	.15
3628	.239	.264	.113	.227
3629	.279	.433	.184	.48
3630	.231	.132	.049	.094
3631	.344	.3	.148	.245
3632	.334	.541	.243	.64
3633	.228	.386	.118	.296
3634	.425	.263	.166	.138
3635	.325	.528	.194	.337
3636	.301	.318	.113	.205
3637	.31	.248	.132	.19
3638	.225	.194	.083	.163
3639	.298	.334	.159	.321
3640	.255	.176	.073	.136
3641	.361	.191	.088	.113
3642	.352	.331	.109	.222
3643	.197	.138	.066	.112
3644	.233	.22	.071	.169
3645	.339	.164	.075	.142
3646	.283	.251	.111	.239
3647	.212	.141	.056	.12
3648	.261	.302	.098	.259
3649	.235	.187	.067	.165
3650	.25	.199	.07	.186
3651	.24	.257	.116	.22
3652	.227	.224	.074	.164
3653	.226	.201	.073	.185
3654	.215	.203	.085	.156
3655	.269	.209	.068	.125
3656	.299	.318	.133	.311
3657	.201	.135	.062	.086
3658	.186	.204	.066	.171
3659	.23	.29	.145	.268
3660	.302	.285	.113	.296
3661	.207	.268	.093	.211
3662	.195	.25	.103	.2
3663	.254	.607	.42	.0
3664	.257	.25	.118	.173
3665	.228	.181	.092	.129
3666	.315	.257	.095	.191
3667	.248	.294	.084	.202
3668	.237	.324	.133	.298
3669	.3	.565	.232	.493
3670	.42	.602	.243	.38
3671	.263	.267	.106	.197
3672	.227	.263	.085	.214
3673	.265	.639	.442	.0
3674	.208	.253	.088	.207
3675	.233	.202	.086	.201
3676	.24	.201	.084	.181
3677	.231	.258	.089	.181
3678	.348	.456	.17	.385
3679	.284	.302	.141	.195
3680	.221	.229	.112	.182
3681	.234	.258	.097	.18
3682	.226	.214	.081	.158
3683	.255	.19	.059	.147
3684	.28	.201	.097	.201
3685	.233	.232	.085	.179
3686	.238	.289	.145	.287
3687	.205	.213	.092	.178
3688	.214	.2	.082	.17
3689	.266	.321	.104	.272
3690	.407	.737	.454	.325
3691	.224	.25	.105	.243
3692	.232	.22	.092	.214
3693	.329	.208	.09	.148
3694	.198	.217	.09	.166
3695	.364	.483	.155	.291
3696	.243	.227	.09	.155
3697	.313	.31	.091	.248
3698	.226	.212	.095	.206
3699	.296	.367	.094	.288
3700	.245	.228	.089	.179
3701	.232	.207	.062	.131
3702	.321	.308	.123	.28
3703	.241	.256	.093	.205
3704	.183	.141	.061	.13
3705	.553	.522	.206	.612
3706	.228	.225	.087	.258
3707	.208	.164	.068	.118
3708	.236	.249	.094	.214
3709	.293	.275	.088	.162
3710	.232	.252	.095	.268
3711	.264	.308	.119	.249
3712	.324	.3	.114	.236
3713	.171	.156	.059	.142
3714	.243	.206	.066	.12
3715	.447	.337	.205	.255
3716	.15	.256	.101	.25
3717	.221	.246	.109	.219
3718	.286	.258	.103	.214
3719	.266	.254	.088	.212
3720	.232	.174	.079	.132
3721	.28	.304	.098	.244
3722	.238	.239	.081	.192
3723	.227	.235	.088	.212
3724	.228	.226	.083	.176
3725	.262	.312	.144	.324
3726	.239	.283	.102	.235
3727	.226	.318	.12	.298
3728	.258	.241	.102	.22
3729	.25	.245	.084	.152
3730	.248	.23	.092	.233
3731	.335	.246	.111	.24
3732	.31	.41	.227	.274
3733	.279	.381	.122	.273
3734	.273	.306	.093	.147
3735	.206	.227	.071	.203
3736	.35	.465	.201	.397
3737	.209	.249	.112	.224
3738	.311	.284	.114	.244
3739	.296	.233	.08	.209
3740	.264	.272	.097	.214
3741	.31	.157	.059	.158
3742	.248	.215	.078	.151
3743	.206	.185	.067	.151
3744	.291	.352	.125	.238
3745	.212	.444	.177	.339
3746	.258	.285	.1	.173
3747	.22	.161	.058	.108
3748	.24	.239	.06	.121
3749	.246	.266	.098	.194
3750	.226	.202	.078	.149
3751	.256	.238	.077	.206
3752	.267	.278	.09	.227
3753	.224	.119	.049	.13
3754	.348	.372	.174	.164
3755	.196	.293	.096	.245
3756	.187	.292	.095	.268
3757	.433	.636	.221	.737
3758	.256	.265	.114	.313
3759	.387	.64	.275	.568
3760	.306	.321	.117	.226
3761	.266	.301	.108	.284
3762	.221	.511	.354	.0
3763	.23	.245	.108	.197
3764	.24	.215	.089	.15
3765	.232	.23	.079	.139
3766	.168	.134	.04	.087
3767	.195	.216	.068	.13
3768	.243	.282	.113	.228
3769	.279	.301	.111	.236
3770	.275	.227	.078	.182
3771	.219	.25	.129	.196
3772	.265	.305	.114	.191
3773	.261	.22	.083	.196
3774	.273	.265	.109	.232
3775	.255	.237	.107	.229
3776	.254	.301	.109	.334
3777	.218	.182	.081	.166
3778	.191	.223	.088	.207
3779	.236	.183	.064	.15
3780	.283	.339	.116	.301
3781	.214	.225	.084	.196
3782	.249	.242	.086	.195
3783	.256	.288	.129	.253
3784	.247	.255	.078	.191
3785	.177	.189	.092	.098
3786	.302	.404	.145	.277
3787	.354	.26	.104	.15
3788	.259	.263	.12	.227
3789	.22	.22	.095	.124
3790	.36	.221	.077	.222
3791	.347	.387	.134	.325
3792	.241	.163	.058	.178
3793	.272	.265	.089	.208
3794	.236	.276	.101	.228
3795	.23	.267	.1	.235
3796	.22	.218	.083	.157
3797	.244	.23	.092	.182
3798	.214	.284	.091	.237
3799	.386	.417	.21	.353
3800	.272	.397	.133	.393
3801	.044	.0	.044	.0
3802	.258	.287	.119	.26
3803	.182	.237	.087	.131
3804	.217	.18	.072	.148
3805	.292	.148	.088	.1
3806	.267	.272	.121	.225
3807	.25	.219	.092	.244
3808	.275	.301	.123	.224
3809	.205	.191	.082	.154
3810	.226	.3	.127	.244
3811	.227	.221	.077	.165
3812	.239	.227	.071	.173
3813	.319	.308	.123	.315
3814	.44	.592	.192	.407
3815	.18	.175	.066	.16
3816	.222	.295	.119	.342
3817	.221	.229	.075	.203
3818	.26	.176	.062	.131
3819	.273	.349	.124	.248
3820	.235	.199	.073	.173
3821	.303	.38	.155	.277
3822	.26	.276	.107	.269
3823	.256	.198	.072	.179
3824	.218	.213	.077	.166
3825	.254	.269	.112	.192
3826	.223	.26	.088	.206
3827	.257	.144	.066	.132
3828	.194	.242	.087	.179
3829	.235	.19	.081	.179
3830	.283	.323	.139	.268
3831	.181	.239	.081	.227
3832	.243	.207	.071	.167
3833	.198	.201	.081	.175
3834	.305	.249	.124	.203
3835	.283	.277	.093	.202
3836	.256	.246	.1	.181
3837	.252	.25	.111	.237
3838	.3	.345	.138	.287
3839	.261	.259	.113	.201
3840	.223	.219	.093	.198
3841	.199	.244	.083	.209
3842	.189	.228	.086	.188
3843	.246	.303	.131	.301
3844	.251	.24	.101	.202
3845	.206	.194	.119	.118
3846	.225	.237	.096	.202
3847	.244	.271	.093	.221
3848	.311	.413	.195	.315
3849	.235	.269	.089	.181
3850	.265	.223	.081	.189
3851	.296	.239	.087	.205
3852	.255	.265	.086	.171
3853	.186	.167	.065	.144
3854	.284	.152	.053	.105
3855	.214	.693	.254	.729
3856	.337	.337	.147	.358
3857	.351	.288	.127	.196
3858	.275	.174	.072	.142
3859	.307	.833	.357	.72
3860	.296	.269	.127	.242
3861	.241	.464	.174	.566
3862	.222	.227	.094	.203
3863	.245	.227	.091	.166
3864	.199	.229	.092	.202
3865	.227	.252	.104	.214
3866	.253	.228	.113	.215
3867	.228	.167	.068	.15
3868	.261	.314	.116	.298
3869	.255	.164	.065	.123
3870	.288	.333	.122	.231
3871	.227	.224	.082	.208
3872	.301	.535	.185	.542
3873	.27	.293	.101	.316
3874	.216	.257	.102	.207
3875	.256	.217	.08	.137
3876	.283	.242	.099	.218
3877	.226	.187	.083	.186
3878	.207	.165	.074	.151
3879	.282	.183	.103	.13
3880	.27	.237	.088	.114
3881	.161	.21	.089	.195
3882	.241	.297	.152	.137
3883	.188	.132	.037	.108
3884	.281	.385	.155	.3
3885	.278	.278	.096	.176
3886	.258	.271	.092	.263
3887	.192	.176	.085	.199
3888	.205	.245	.067	.163
3889	.211	.176	.077	.131
3890	.268	.299	.098	.223
3891	.354	.275	.148	.283
3892	.231	.247	.087	.174
3893	.189	.253	.093	.224
3894	.186	.17	.072	.138
3895	.259	.288	.113	.263
3896	.215	.22	.083	.175
3897	.239	.358	.145	.38
3898	.242	.217	.086	.147
3899	.272	.279	.105	.238
3900	.3	.392	.137	.348
3901	.258	.239	.099	.175
3902	.236	.169	.063	.111
3903	.227	.249	.155	.09
3904	.235	.226	.088	.174
3905	.326	.311	.145	.292
3906	.281	.226	.089	.153
3907	.214	.198	.081	.137
3908	.238	.287	.114	.237
3909	.249	.222	.093	.148
3910	.343	.262	.103	.177
3911	.206	.214	.073	.182
3912	.271	.296	.097	.286
3913	.294	.333	.157	.289
3914	.265	.256	.098	.206
3915	.209	.201	.081	.208
3916	.238	.206	.084	.167
3917	.27	.288	.136	.282
3918	.21	.269	.097	.197
3919	.213	.233	.106	.196
3920	.258	.29	.117	.242
3921	.2	.207	.078	.214
3922	.246	.292	.123	.207
3923	.198	.198	.083	.174
3924	.21	.228	.083	.199
3925	.225	.196	.07	.188
3926	.252	.149	.048	.129
3927	.205	.216	.086	.188
3928	.238	.33	.13	.257
3929	.338	.311	.077	.164
3930	.208	.234	.094	.22
3931	.25	.278	.095	.224
3932	.207	.288	.115	.242
3933	.515	.643	.23	.595
3934	.206	.285	.121	.314
3935	.379	.507	.263	.403
3936	.312	.255	.088	.192
3937	.203	.268	.114	.259
3938	.345	.366	.155	.352
3939	.243	.228	.103	.176
3940	.264	.203	.074	.114
3941	.254	.192	.071	.173
3942	.256	.427	.175	.378
3943	.263	.206	.081	.195
3944	.248	.274	.087	.231
3945	.256	.254	.103	.193
3946	.288	.261	.096	.203
3947	.296	.351	.145	.356
3948	.155	.273	.09	.261
3949	.263	.256	.108	.229
3950	.274	.182	.103	.12
3951	.236	.296	.106	.297
3952	.221	.272	.133	.176
3953	.256	.25	.093	.224
3954	.216	.244	.104	.186
3955	.213	.273	.113	.271
3956	.216	.207	.083	.204
3957	.201	.194	.087	.189
3958	.255	.354	.156	.309
3959	.235	.203	.076	.122
3960	.262	.291	.103	.217
3961	.251	.204	.111	.147
3962	.201	.21	.079	.19
3963	.231	.241	.102	.235
3964	.231	.337	.077	.155
3965	.26	.295	.107	.268
3966	.27	.314	.13	.223
3967	.257	.27	.074	.133
3968	.27	.271	.125	.216
3969	.203	.239	.075	.188
3970	.233	.256	.077	.178
3971	.204	.234	.112	.204
3972	.176	.254	.077	.199
3973	.273	.217	.091	.15
3974	.149	.245	.074	.166
3975	.232	.17	.077	.12
3976	.203	.268	.113	.266
3977	.24	.264	.094	.293
3978	.228	.187	.07	.166
3979	.192	.161	.055	.144
3980	.235	.215	.07	.164
3981	.273	.361	.118	.375
3982	.387	.708	.312	.632
3983	.233	.246	.084	.216
3984	.251	.313	.108	.327
3985	.237	.183	.068	.18
3986	.2	.22	.082	.184
3987	.395	.584	.137	.568
3988	.21	.262	.081	.178
3989	.245	.285	.094	.289
3990	.244	.22	.104	.19
3991	.315	.32	.14	.198
3992	.22	.208	.085	.195
3993	.22	.206	.081	.153
3994	.281	.366	.126	.367
3995	.259	.186	.083	.167
3996	.235	.281	.119	.231
3997	.282	.282	.076	.217
3998	.221	.146	.068	.154
3999	.258	.31	.107	.23
4000	.335	.478	.183	.253
4001	.35	.387	.108	.303
4002	.306	.415	.195	.36
4003	.188	.173	.06	.145
4004	.243	.286	.097	.182
4005	.273	.328	.149	.306
4006	.202	.218	.078	.217
4007	.212	.239	.089	.247
4008	.575	.0	.575	.0
4009	.199	.128	.088	.0
4010	.194	.163	.061	.143
4011	.294	.264	.108	.199
4012	.247	.204	.08	.136
4013	.307	.366	.1	.192
4014	.276	.234	.091	.156
4015	.252	.242	.097	.184
4016	.247	.271	.105	.238
4017	.297	.329	.123	.308
4018	.26	.248	.112	.182
4019	.224	.256	.098	.216
4020	.311	.255	.1	.271
4021	.292	.202	.068	.169
4022	.222	.23	.105	.181
4023	.227	.204	.077	.174
4024	.73	.0	.73	.0
4025	.204	.281	.095	.201
4026	.216	.238	.09	.214
4027	.189	.192	.065	.139
4028	.258	.277	.129	.228
4029	.211	.236	.094	.213
4030	.209	.232	.08	.198
4031	.285	.523	.179	.503
4032	.28	.238	.095	.174
4033	.253	.313	.125	.343
4034	.358	.318	.131	.24
4035	.214	.239	.109	.237
4036	.231	.264	.1	.249
4037	.202	.226	.094	.162
4038	.214	.224	.083	.179
4039	.213	.146	.047	.097
4040	.239	.251	.088	.145
4041	.239	.251	.11	.208
4042	.221	.271	.108	.202
4043	.267	.365	.168	.321
4044	.267	.294	.139	.238
4045	.251	.231	.1	.183
4046	.223	.223	.088	.189
4047	.235	.253	.12	.222
4048	.211	.191	.062	.137
4049	.269	.295	.119	.26
4050	.263	.466	.152	.468
4051	.235	.286	.092	.167
4052	.269	.247	.105	.206
4053	.218	.195	.071	.2
4054	.23	.296	.117	.208
4055	.236	.206	.08	.183
4056	.285	.253	.103	.18
4057	.249	.207	.072	.166
4058	.211	.175	.066	.131
4059	.202	.202	.088	.176
4060	.287	.265	.105	.248
4061	.228	.253	.098	.212
4062	.232	.161	.066	.147
4063	.265	.252	.113	.184
4064	.211	.202	.077	.137
4065	.209	.306	.12	.27
4066	.218	.33	.091	.295
4067	.263	.248	.091	.199
4068	.239	.227	.075	.163
4069	.274	.217	.097	.161
4070	.259	.325	.118	.269
4071	.234	.205	.088	.121
4072	.246	.246	.092	.202
4073	.249	.255	.079	.189
4074	.247	.2	.082	.142
4075	.262	.276	.098	.222
4076	.264	.211	.08	.168
4077	.272	.262	.062	.181
4078	.256	.286	.109	.22
4079	.219	.198	.065	.165
4080	.291	.287	.093	.22
4081	.286	.42	.17	.443
4082	.338	.295	.115	.262
4083	.282	.23	.092	.153
4084	.251	.337	.13	.279
4085	.2	.201	.069	.172
4086	.238	.263	.115	.215
4087	.276	.207	.095	.189
4088	.239	.209	.076	.193
4089	.207	.229	.057	.163
4090	.241	.215	.082	.203
4091	.314	.504	.18	.41
4092	.236	.273	.102	.233
4093	.297	.331	.135	.264
4094	.27	.307	.128	.283
4095	.279	.36	.108	.245
4096	.264	.302	.102	.214
4097	.242	.359	.126	.392
4098	.325	.282	.143	.153
4099	.179	.172	.073	.174
4100	.181	.175	.054	.143
4101	.281	.167	.069	.117
4102	.217	.282	.124	.2
4103	.265	.236	.099	.231
4104	.264	.278	.09	.251
4105	.249	.267	.08	.207
4106	.211	.227	.082	.197
4107	.324	.449	.18	.45
4108	.224	.239	.083	.23
4109	.224	.22	.082	.174
4110	.278	.332	.141	.331
4111	.323	.307	.129	.265
4112	.365	.366	.162	.06
4113	.218	.247	.08	.169
4114	.206	.226	.099	.181
4115	.24	.398	.159	.288
4116	.256	.236	.086	.168
4117	.266	.235	.097	.18
4118	.267	.198	.092	.085
4119	.156	.193	.073	.14
4120	.227	.293	.107	.248
4121	.202	.268	.111	.251
4122	.297	.21	.077	.203
4123	.229	.171	.066	.116
4124	.317	.164	.075	.163
4125	.216	.187	.081	.168
4126	.252	.236	.092	.247
4127	.235	.202	.071	.13
4128	.233	.235	.094	.229
4129	.254	.325	.126	.277
4130	.169	.192	.067	.157
4131	.211	.314	.114	.261
4132	.172	.123	.04	.093
4133	.26	.23	.083	.174
4134	.239	.276	.13	.247
4135	.698	.38	.162	.366
4136	.238	.207	.06	.106
4137	.302	.411	.132	.377
4138	.262	.317	.119	.295
4139	.22	.24	.088	.146
4140	.209	.217	.101	.143
4141	.281	.278	.116	.179
4142	.228	.274	.122	.21
4143	.281	.389	.125	.409
4144	.235	.172	.059	.141
4145	.253	.262	.104	.234
4146	.225	.294	.111	.27
4147	.251	.263	.129	.131
4148	.24	.257	.101	.23
4149	.305	.223	.087	.179
4150	.289	.326	.13	.216
4151	.252	.29	.116	.242
4152	.295	.336	.149	.151
4153	.238	.166	.051	.115
4154	.281	.186	.065	.125
4155	.316	.186	.059	.12
4156	.224	.29	.158	.279
4157	.237	.223	.093	.201
4158	.234	.266	.123	.252
4159	.218	.287	.079	.182
4160	.328	.284	.097	.231
4161	.206	.183	.065	.136
4162	.205	.194	.075	.145
4163	.263	.334	.158	.29
4164	.198	.279	.084	.208
4165	.205	.252	.088	.235
4166	.203	.189	.071	.155
4167	.324	.313	.158	.258
4168	.249	.147	.047	.112
4169	.233	.237	.1	.242
4170	.21	.211	.082	.164
4171	.279	.25	.103	.218
4172	.278	.347	.131	.266
4173	.301	.322	.136	.263
4174	.318	.501	.174	.572
4175	.216	.22	.09	.177
4176	.212	.224	.071	.196
4177	.237	.209	.07	.15
4178	.262	.23	.102	.183
4179	.229	.223	.096	.193
4180	.281	.245	.117	.178
4181	.267	.197	.082	.186
4182	.26	.298	.096	.216
4183	.211	.188	.076	.149
4184	.236	.331	.118	.281
4185	.211	.144	.054	.13
4186	.264	.269	.095	.269
4187	.358	.489	.173	.383
4188	.285	.289	.119	.25
4189	.256	.335	.093	.235
4190	.211	.307	.113	.247
4191	.253	.216	.114	.199
4192	.236	.224	.079	.173
4193	.267	.248	.083	.236
4194	.243	.185	.071	.112
4195	.223	.164	.067	.105
4196	.235	.227	.086	.178
4197	.265	.383	.122	.345
4198	.215	.227	.081	.176
4199	.215	.237	.09	.282
4200	.275	.218	.088	.179
4201	.232	.241	.097	.194
4202	.285	.311	.126	.27
4203	.245	.195	.065	.161
4204	.243	.216	.085	.136
4205	.151	.2	.072	.161
4206	.326	.219	.133	.09
4207	.236	.304	.114	.273
4208	.224	.244	.1	.204
4209	.198	.221	.076	.192
4210	.568	.553	.232	.159
4211	.329	.278	.111	.28
4212	.212	.224	.084	.194
4213	.214	.217	.082	.188
4214	.188	.21	.065	.196
4215	.321	.135	.049	.083
4216	.235	.209	.103	.146
4217	.193	.225	.075	.178
4218	.241	.199	.094	.149
4219	.238	.202	.076	.16
4220	.245	.316	.134	.259
4221	.32	.488	.159	.356
4222	.279	.174	.073	.12
4223	.214	.22	.086	.166
4224	.239	.249	.108	.208
4225	.324	.326	.138	.301
4226	.215	.239	.09	.173
4227	.232	.221	.088	.179
4228	.196	.22	.066	.173
4229	.277	.305	.104	.271
4230	.225	.293	.126	.255
4231	.243	.442	.124	.289
4232	.253	.315	.126	.269
4233	.194	.214	.08	.167
4234	.211	.205	.068	.155
4235	.251	.188	.08	.182
4236	.305	.159	.066	.078
4237	.299	.418	.172	.472
4238	.294	.354	.145	.279
4239	.246	.337	.137	.324
4240	.259	.341	.155	.384
4241	.21	.252	.091	.211
4242	.282	.177	.097	.14
4243	.206	.663	.487	.0
4244	.214	.201	.088	.178
4245	.3	.305	.103	.145
4246	.24	.257	.088	.207
4247	.357	.387	.133	.313
4248	.195	.221	.074	.163
4249	.289	.354	.13	.294
4250	.226	.195	.072	.2
4251	.219	.176	.061	.133
4252	.249	.246	.097	.211
4253	.365	.718	.369	.568
4254	.272	.324	.104	.305
4255	.28	.181	.066	.189
4256	.372	.485	.214	.457
4257	.211	.235	.074	.142
4258	.229	.427	.146	.259
4259	.187	.214	.081	.194
4260	.229	.21	.08	.171
4261	.237	.274	.081	.253
4262	.187	.173	.076	.138
4263	.256	.205	.059	.176
4264	.243	.446	.299	.222
4265	.267	.375	.14	.354
4266	.301	.477	.145	.209
4267	.24	.239	.095	.188
4268	.396	.403	.188	.421
4269	.195	.277	.111	.256
4270	.235	.236	.105	.187
4271	.235	.292	.117	.241
4272	.284	.256	.094	.158
4273	.214	.143	.077	.133
4274	.259	.291	.119	.261
4275	.248	.244	.114	.171
4276	.203	.264	.091	.218
4277	.253	.364	.118	.353
4278	.26	.229	.102	.214
4279	.28	.309	.111	.303
4280	.18	.306	.08	.205
4281	.259	.23	.104	.18
4282	.23	.182	.08	.165
4283	.206	.223	.075	.15
4284	.28	.336	.155	.317
4285	.221	.253	.093	.272
4286	.258	.18	.073	.113
4287	.217	.194	.075	.148
4288	.255	.192	.076	.19
4289	.321	.263	.111	.211
4290	.222	.236	.078	.183
4291	.223	.252	.112	.261
4292	.25	.216	.093	.13
4293	.29	.286	.096	.194
4294	.29	.25	.095	.168
4295	.214	.207	.091	.241
4296	.316	.375	.143	.253
4297	.193	.23	.086	.262
4298	.217	.254	.111	.243
4299	.267	.254	.094	.231
4300	.315	.306	.135	.293
4301	.259	.234	.073	.178
4302	.183	.138	.062	.12
4303	.221	.237	.097	.216
4304	.23	.204	.079	.162
4305	.26	.266	.105	.218
4306	.211	.253	.106	.256
4307	.215	.225	.106	.228
4308	.254	.226	.081	.169
4309	.271	.304	.162	.149
4310	.264	.24	.113	.222
4311	.207	.227	.07	.14
4312	.23	.244	.119	.198
4313	.367	.389	.117	.323
4314	.232	.186	.098	.141
4315	.229	.259	.122	.232
4316	.192	.226	.087	.188
4317	.231	.28	.058	.255
4318	.201	.234	.084	.256
4319	.275	.148	.07	.157
4320	.23	.219	.095	.143
4321	.237	.243	.095	.251
4322	.262	.266	.107	.277
4323	.279	.342	.119	.262
4324	.351	.339	.145	.349
4325	.303	.277	.11	.202
4326	.253	.234	.097	.185
4327	.25	.237	.087	.206
4328	.24	.239	.082	.253
4329	.241	.261	.122	.238
4330	.224	.244	.084	.204
4331	.227	.315	.101	.386
4332	.174	.157	.055	.131
4333	.24	.21	.051	.204
4334	.221	.261	.123	.222
4335	.184	.245	.095	.133
4336	.435	.661	.257	.173
4337	.218	.203	.085	.149
4338	.277	.194	.087	.138
4339	.194	.184	.082	.137
4340	.249	.388	.155	.371
4341	.37	.483	.214	.41
4342	.223	.189	.079	.147
4343	.128	.124	.039	.094
4344	.23	.234	.089	.174
4345	.265	.305	.13	.255
4346	.305	.408	.165	.508
4347	.205	.119	.055	.137
4348	.222	.247	.079	.146
4349	.221	.199	.059	.172
4350	.215	.191	.073	.11
4351	.197	.234	.092	.181
4352	.212	.166	.076	.15
4353	.73	.0	.73	.0
4354	.207	.163	.061	.14
4355	.236	.191	.064	.142
4356	.217	.208	.066	.143
4357	.391	.34	.177	.323
4358	.271	.292	.124	.195
4359	.195	.186	.077	.131
4360	.315	.662	.361	.554
4361	.181	.224	.083	.246
4362	.194	.195	.066	.135
4363	.254	.248	.098	.231
4364	.265	.27	.124	.245
4365	.232	.251	.102	.245
4366	.22	.178	.074	.15
4367	.252	.222	.077	.224
4368	.347	.362	.145	.336
4369	.221	.478	.199	.19
4370	.252	.232	.085	.163
4371	.195	.185	.083	.161
4372	.26	.281	.094	.264
4373	.332	.321	.138	.302
4374	.277	.032	.022	.0
4375	.258	.194	.079	.168
4376	.182	.134	.051	.086
4377	.293	.351	.115	.3
4378	.227	.165	.059	.144
4379	.28	.324	.117	.247
4380	.268	.233	.088	.271
4381	.227	.13	.056	.134
4382	.214	.03	.011	.032
4383	.251	.235	.105	.167
4384	.235	.148	.057	.125
4385	.218	.224	.104	.206
4386	.312	.214	.09	.205
